persistentid,venueid,utc_date,utc_hour,local_date,local_hour,gender,age,full_panel_reweighted_sag_score,dwell,home_zip,venuename,address,city,dma,state,country,geolat,geolong,catid,catname,level1catId,level1cat,level2catId,level2cat,level3catId,level3cat,chainid,chainname,parentvenueid,zip,sample
54,4be04521c9eac92879485a6b,2020-05-20,13,2020-05-20,8,Female,Age_40_to_44,95.59392585055296,254,,Marbridge,2310 Bliss Spillar Rd,Manchaca,"Austin, TX",TX,US,30.13818115040195,-97.8568213217218,4bf58dd8d48988d1ff941735,Miscellaneous Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1ff941735,Miscellaneous Shops,,,,,,78652,us_all
54,4be04521c9eac92879485a6b,2020-05-14,16,2020-05-14,11,Female,Age_40_to_44,94.6068187347248,243,,Marbridge,2310 Bliss Spillar Rd,Manchaca,"Austin, TX",TX,US,30.13818115040195,-97.8568213217218,4bf58dd8d48988d1ff941735,Miscellaneous Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1ff941735,Miscellaneous Shops,,,,,,78652,us_all
4,4be04521c9eac92879485a6b,2020-05-06,17,2020-05-06,12,Male,Age_30_to_34,120.91751907361834,206,,Marbridge,2310 Bliss Spillar Rd,Manchaca,"Austin, TX",TX,US,30.13818115040195,-97.8568213217218,4bf58dd8d48988d1ff941735,Miscellaneous Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1ff941735,Miscellaneous Shops,,,,,,78652,us_all
54,4be04521c9eac92879485a6b,2020-05-04,14,2020-05-04,9,Female,Age_40_to_44,98.51548754624942,1916,,Marbridge,2310 Bliss Spillar Rd,Manchaca,"Austin, TX",TX,US,30.13818115040195,-97.8568213217218,4bf58dd8d48988d1ff941735,Miscellaneous Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1ff941735,Miscellaneous Shops,,,,,,78652,us_all
45,4bec2959b3352d7ffe4f57d2,2020-05-02,16,2020-05-02,11,,,0.0,612,,Wolf Ranch Town Center,1015 W University Ave,Georgetown,"Austin, TX",TX,US,30.63164710622352,-97.69508612851132,4bf58dd8d48988d1fd941735,Shopping Malls,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1fd941735,Shopping Malls,,,59a44e2333627342f7eaa8a8,Washington Prime Group,,78628,us_all
44,4bec2959b3352d7ffe4f57d2,2020-05-10,17,2020-05-10,12,Male,Age_80_to_84,823.3795231375982,2679,77701.0,Wolf Ranch Town Center,1015 W University Ave,Georgetown,"Austin, TX",TX,US,30.63164710622352,-97.69508612851132,4bf58dd8d48988d1fd941735,Shopping Malls,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1fd941735,Shopping Malls,,,59a44e2333627342f7eaa8a8,Washington Prime Group,,78628,us_all
26,4dc1a33fd16455f8322ddaa0,2020-05-06,15,2020-05-06,10,Male,Age_35_to_39,83.89963330179599,364,76542.0,Blanton Elementary,5408 Westminster Dr,Austin,"Austin, TX",TX,US,30.307423776735757,-97.6906226314156,4f4533804b9074f6e4fb0105,Elementary Schools,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d13b941735,Schools,4f4533804b9074f6e4fb0105,Elementary Schools,,,,78723,us_all
26,4dc1a33fd16455f8322ddaa0,2020-05-03,13,2020-05-03,8,Male,Age_35_to_39,90.848928061549,3390,76542.0,Blanton Elementary,5408 Westminster Dr,Austin,"Austin, TX",TX,US,30.307423776735757,-97.6906226314156,4f4533804b9074f6e4fb0105,Elementary Schools,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d13b941735,Schools,4f4533804b9074f6e4fb0105,Elementary Schools,,,,78723,us_all
82,4c7cfaff744d8cfa4d09bc37,2020-05-21,17,2020-05-21,12,Male,Age_25_to_29,202.99789662430737,3120,78616.0,Navarro Elementary,715 S Medina St,Lockhart,"Austin, TX",TX,US,29.873566645985782,-97.68007464027554,4f4533804b9074f6e4fb0105,Elementary Schools,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d13b941735,Schools,4f4533804b9074f6e4fb0105,Elementary Schools,,,,78644,us_all
24,4f7a1ed5e4b054bfe3c41c16,2020-05-21,17,2020-05-21,12,Male,Age_45_to_49,87.54813547654874,471,,The Estates Of Barton Creek,,Barton Creek,"Austin, TX",TX,US,30.280759,-97.869242,4f2a210c4b9023bd5841ed28,Housing Developments,4e67e38e036454776db1fb3a,Residences,4f2a210c4b9023bd5841ed28,Housing Developments,,,,,,78735,us_all
62,4c9ca74a542b224be13de29f,2020-05-25,15,2020-05-25,10,Male,Age_35_to_39,151.80460113457357,1448,,Enterprise Rent-A-Car,2016 W Stassney Ln,Austin,"Austin, TX",TX,US,30.215518285130095,-97.79777169393212,4bf58dd8d48988d1ef941735,Rental Car Locations,4d4b7105d754a06379d81259,Travel & Transport,4bf58dd8d48988d1ef941735,Rental Car Locations,,,556e40c7bd6a82902e2671d5,Enterprise Rent-A-Car,,78745,us_all
54,505f6b89e4b012986043320c,2020-05-12,17,2020-05-12,12,Female,Age_40_to_44,85.18416861578743,1071,,The Hollow At Slaughter Creek,,Austin,"Austin, TX",TX,US,30.17008575625828,-97.81947806042862,4f2a210c4b9023bd5841ed28,Housing Developments,4e67e38e036454776db1fb3a,Residences,4f2a210c4b9023bd5841ed28,Housing Developments,,,,,,78748,us_all
94,505f6b89e4b012986043320c,2020-05-06,14,2020-05-06,9,Male,Age_55_to_59,149.72425214137655,4352,,The Hollow At Slaughter Creek,,Austin,"Austin, TX",TX,US,30.17008575625828,-97.81947806042862,4f2a210c4b9023bd5841ed28,Housing Developments,4e67e38e036454776db1fb3a,Residences,4f2a210c4b9023bd5841ed28,Housing Developments,,,,,,78748,us_all
8,505f6b89e4b012986043320c,2020-05-06,11,2020-05-06,6,Male,Age_30_to_34,104.96428855490323,304,78617.0,The Hollow At Slaughter Creek,,Austin,"Austin, TX",TX,US,30.17008575625828,-97.81947806042862,4f2a210c4b9023bd5841ed28,Housing Developments,4e67e38e036454776db1fb3a,Residences,4f2a210c4b9023bd5841ed28,Housing Developments,,,,,,78748,us_all
